seg_idx,start_sec,end_sec,speaker_prob,face_screen_ratio,face_count,close_up_prob,cinematic,screencast_prob,bumper_score,visual_entropy,visual_text_info,overlay_graphics,visual_variety,location_type,segment_type,segment_position,multi_person_interaction,sound_effect_event,is_ad,viewer_address,crutch_cnt,cultural_ref_cnt,pos_cnt,neg_cnt,hook_score,hook_has_question,hook_has_address
12,360,390,0.9,0.28,1,0.45,0.55,0.0,0.0,0.45,0.0,0.0,0.25,studio,main_content,middle,0,0,0,0,0,0,0,0.1,0,0.0,1,0
13,390,420,0.9,0.28,1,0.45,0.55,0.0,0.0,0.45,0.0,0.0,0.25,studio,main_content,middle,0,0,0,0,0,0,0,0.1,0,0.0,0,0
14,420,450,0.9,0.28,1,0.45,0.55,0.0,0.0,0.45,0.0,0.0,0.25,studio,main_content,middle,0,0,0,0,0,0,0,0.1,0,0.0,0,0
15,450,480,0.9,0.28,1,0.45,0.55,0.0,0.0,0.45,0.0,0.0,0.25,studio,main_content,middle,0,0,0,0,0,1,1,0.1,0,0.0,0,0
16,480,510,0.9,0.28,1,0.45,0.55,0.0,0.0,0.45,0.0,0.0,0.25,studio,main_content,middle,0,0,0,0,0,0,4,0.1,0,0.0,0,0
17,510,540,0.9,0.28,1,0.45,0.55,0.0,0.0,0.45,0.0,0.0,0.25,studio,main_content,middle,0,0,0,0,0,0,3,0.1,0,0.0,0,0
18,540,570,0.9,0.28,1,0.45,0.55,0.0,0.0,0.45,0.0,0.0,0.25,studio,main_content,middle,0,0,0,0,0,0,3,0.1,0,0.0,0,0
19,570,600,0.9,0.28,1,0.45,0.55,0.0,0.0,0.45,0.0,0.0,0.25,studio,main_content,middle,0,0,0,0,0,0,2,0.1,0,0.0,0,0
20,600,630,0.9,0.28,1,0.45,0.55,0.0,0.0,0.45,0.0,0.0,0.25,studio,main_content,middle,0,0,0,1,0,0,2,0.1,0,0.0,0,1
21,630,660,0.9,0.28,1,0.45,0.55,0.0,0.0,0.45,0.0,0.0,0.25,studio,main_content,middle,0,0,0,0,0,0,2,0.1,0,0.0,0,0
22,660,690,0.9,0.28,1,0.45,0.55,0.0,0.0,0.45,0.0,0.0,0.25,studio,main_content,middle,0,0,0,0,0,0,1,0.1,0,0.0,0,0
23,690,720,0.9,0.28,1,0.45,0.55,0.0,0.0,0.45,0.0,0.0,0.25,studio,main_content,middle,0,0,0,0,0,0,2,0.1,0,0.0,0,0
24,720,750,0.9,0.28,1,0.45,0.55,0.0,0.0,0.45,0.0,0.0,0.25,studio,main_content,middle,0,0,0,0,0,0,1,0.1,0,0.0,0,0
25,750,780,0.9,0.28,1,0.45,0.55,0.0,0.0,0.45,0.0,0.0,0.25,studio,main_content,middle,0,0,0,0,0,0,0,0.1,0,0.0,0,0
26,780,810,0.9,0.28,1,0.45,0.55,0.0,0.0,0.45,0.0,0.0,0.25,studio,main_content,middle,0,0,0,0,0,0,0,0.1,0,0.0,0,0
27,810,840,0.9,0.28,1,0.45,0.55,0.0,0.0,0.45,0.0,0.0,0.25,studio,main_content,middle,0,0,0,0,0,0,2,0.1,0,0.0,0,0
28,840,870,0.9,0.28,1,0.45,0.55,0.0,0.0,0.45,0.0,0.0,0.25,studio,main_content,middle,0,0,0,0,0,0,2,0.1,0,0.0,0,0
29,870,900,0.9,0.28,1,0.45,0.55,0.0,0.0,0.45,0.0,0.0,0.25,studio,main_content,middle,0,0,0,0,0,0,2,0.1,0,0.0,0,0
30,900,930,0.9,0.28,1,0.45,0.55,0.0,0.0,0.45,0.0,0.0,0.25,studio,main_content,middle,0,0,0,0,0,0,2,0.1,0,0.0,0,0
31,930,960,0.9,0.28,1,0.45,0.55,0.0,0.0,0.45,0.0,0.5,0.4,studio,main_content,middle,0,0,0,0,0,0,6,0.1,0,0.0,0,0
32,960,990,0.9,0.28,1,0.45,0.55,0.0,0.0,0.45,0.0,0.5,0.4,studio,main_content,middle,0,0,0,0,0,0,5,0.1,0,0.0,0,0
33,990,1020,0.9,0.28,1,0.45,0.55,0.0,0.0,0.45,0.0,0.0,0.25,studio,main_content,middle,0,0,0,0,0,0,1,0.1,0,0.0,0,0
34,1020,1050,0.9,0.28,1,0.45,0.55,0.0,0.0,0.45,0.0,0.0,0.25,studio,conclusion,end,0,0,0,1,0,0,0,0.2,0,0.3,0,1
35,1050,1050.3,0.5,0.0,0,0.0,0.3,0.0,0.5,0.2,0.0,0.0,0.2,studio,bumper,end,0,0,0,0,0,0,0,0,0,0.0,0,0
