seg_idx,start_sec,end_sec,speaker_prob,face_screen_ratio,face_count,close_up_prob,cinematic,screencast_prob,bumper_score,visual_entropy,visual_text_info,overlay_graphics,visual_variety,location_type,segment_type,segment_position,multi_person_interaction,sound_effect_event,is_ad,viewer_address,crutch_cnt,cultural_ref_cnt,pos_cnt,neg_cnt,hook_score,hook_has_question,hook_has_address
41,615,630,0.8,0.25,1,0.4,0.5,0.0,0.0,0.5,0.0,0.5,0.4,studio,main_content,middle,0,0,0,0,0,1,0,0,0.0,0,0
42,630,645,0.8,0.25,1,0.4,0.5,0.0,0.0,0.5,0.0,0.0,0.2,studio,main_content,middle,0,0,0,0,0,1,0,0,0.0,0,0
43,645,660,0.8,0.25,1,0.4,0.5,0.0,0.0,0.5,0.0,0.0,0.2,studio,main_content,middle,0,0,0,0,0,1,0,0,0.0,0,0
44,660,675,0.8,0.25,1,0.4,0.5,0.0,0.0,0.5,0.0,0.0,0.2,studio,main_content,middle,0,0,0,0,0,1,0,0,0.0,0,0
45,675,690,0.9,0.25,1,0.4,0.6,0.0,0.0,0.5,0.0,0.0,0.2,studio,main_content,middle,0,0,0,0,0,1,0,0,0.0,1,0
46,690,705,0.9,0.3,1,0.5,0.6,0.0,0.0,0.4,0.0,0.0,0.2,studio,main_content,middle,0,0,0,0,0,1,0,0,0.0,0,0
47,705,720,0.9,0.25,1,0.4,0.6,0.0,0.0,0.5,0.0,0.0,0.2,studio,main_content,middle,0,0,0,0,0,0,0,0,0.0,0,0
48,720,735,0.9,0.25,1,0.4,0.6,0.0,0.0,0.5,0.0,0.0,0.2,studio,main_content,middle,0,0,0,0,0,0,0,0,0.0,0,0
49,735,750,0.8,0.25,1,0.4,0.5,0.0,0.0,0.5,0.0,0.0,0.2,studio,main_content,middle,0,0,0,0,0,0,0,0,0.0,0,0
50,750,765,0.8,0.25,1,0.4,0.5,0.0,0.0,0.5,0.0,0.0,0.2,studio,main_content,middle,0,0,0,0,0,1,0,0,0.0,0,0
51,765,780,0.9,0.25,1,0.4,0.6,0.0,0.0,0.5,0.0,0.0,0.2,studio,main_content,middle,0,0,0,0,0,0,0,0,0.0,1,0
52,780,795,0.9,0.25,1,0.4,0.6,0.0,0.0,0.5,0.0,0.0,0.2,studio,main_content,middle,0,0,0,0,0,0,0,0,0.0,0,0
53,795,810,0.8,0.25,1,0.4,0.5,0.0,0.0,0.5,0.8,0.5,0.5,studio,main_content,middle,0,0,0,0,0,1,0,0,0.0,0,0
54,810,825,0.8,0.25,1,0.4,0.5,0.0,0.0,0.5,0.0,0.0,0.2,studio,main_content,middle,0,0,0,0,0,0,0,0,0.0,0,0
55,825,840,0.8,0.25,1,0.4,0.5,0.0,0.0,0.5,0.0,0.0,0.2,studio,main_content,middle,0,0,0,0,0,0,0,0,0.0,0,0
56,840,855,0.9,0.25,1,0.4,0.6,0.0,0.0,0.5,0.0,0.0,0.2,studio,main_content,middle,0,0,0,0,0,0,0,0,0.0,0,0
57,855,870,0.8,0.25,1,0.4,0.5,0.0,0.0,0.5,0.0,0.0,0.2,studio,main_content,middle,0,0,0,0,0,1,0,0,0.0,0,0
58,870,885,0.9,0.25,1,0.4,0.6,0.0,0.0,0.5,0.0,0.0,0.2,studio,main_content,end,0,0,0,0,0,1,1,0,0.0,0,0
59,885,900,0.9,0.25,1,0.4,0.6,0.0,0.0,0.5,0.0,0.0,0.2,studio,conclusion,end,0,0,1,0,0,0,0,0,0.0,0,0
60,900,913.4,0.9,0.3,1,0.5,0.6,0.0,0.0,0.4,0.5,0.0,0.2,studio,conclusion,end,0,0,0,1,0,0,0,0,0.0,0,0
