2026-03-20 13:41:02,280 INFO Loading merged data...
2026-03-20 13:41:02,585 INFO Loaded K5zVqoMMj3Y: 101 rows, 122 cols (output+llm)
2026-03-20 13:41:02,591 INFO Loaded LH3DvvXTxzc: 101 rows, 52 cols (output+llm)
2026-03-20 13:41:02,597 INFO Loaded Mc0b511IaVU: 101 rows, 52 cols (output+llm)
2026-03-20 13:41:02,602 INFO Loaded NE38Pn3CYRc: 100 rows, 52 cols (output+llm)
2026-03-20 13:41:02,609 INFO Loaded Nvq6okhPSOw: 101 rows, 52 cols (output+llm)
2026-03-20 13:41:02,615 INFO Loaded OpuMLYUuP_M: 101 rows, 52 cols (output+llm)
2026-03-20 13:41:02,621 INFO Loaded P9bVljfAWS8: 101 rows, 52 cols (output+llm)
2026-03-20 13:41:02,629 INFO Loaded Q1ZmiQVX9cY: 101 rows, 52 cols (output+llm)
2026-03-20 13:41:02,636 INFO Loaded RhVq2oJpsEY: 101 rows, 52 cols (output+llm)
2026-03-20 13:41:02,641 INFO Loaded RkwsqGM4_DE: 101 rows, 52 cols (output+llm)
2026-03-20 13:41:02,647 INFO Loaded S_o49-nmh5w: 101 rows, 52 cols (output+llm)
2026-03-20 13:41:02,654 INFO Loaded Sf95qeC7BUs: 101 rows, 41 cols (output+llm)
2026-03-20 13:41:02,663 INFO Loaded U8e1Pd7aBLY: 101 rows, 122 cols (output+llm)
2026-03-20 13:41:02,668 INFO Loaded VYYzb9KHawI: 101 rows, 41 cols (output+llm)
2026-03-20 13:41:02,673 INFO Loaded VYsqc9S5b9E: 101 rows, 41 cols (output+llm)
2026-03-20 13:41:02,679 INFO Loaded W6enyqR-1Jw: 101 rows, 41 cols (output+llm)
2026-03-20 13:41:02,684 INFO Loaded YoGUM0AsXJI: 101 rows, 41 cols (output+llm)
2026-03-20 13:41:02,690 INFO Loaded YubjPoEmzgU: 101 rows, 41 cols (output+llm)
2026-03-20 13:41:02,696 INFO Loaded Z6cbf9WN0c4: 101 rows, 41 cols (output+llm)
2026-03-20 13:41:02,706 INFO Loaded b5gAWk2QuSU: 101 rows, 122 cols (output+llm)
2026-03-20 13:41:02,715 INFO Loaded bK-1Mfb93uA: 101 rows, 122 cols (output+llm)
2026-03-20 13:41:02,727 INFO Loaded dx7dMwMXSAA: 101 rows, 122 cols (output+llm)
2026-03-20 13:41:02,737 INFO Loaded e21aHqRYPKE: 101 rows, 122 cols (output+llm)
2026-03-20 13:41:02,746 INFO Loaded eL9OqXpmvOE: 101 rows, 122 cols (output+llm)
2026-03-20 13:41:02,757 INFO Loaded eLSgNBnpeRg: 101 rows, 122 cols (output+llm)
2026-03-20 13:41:02,767 INFO Loaded fwHhuHVNR4I: 101 rows, 122 cols (output+llm)
2026-03-20 13:41:02,773 INFO Loaded gYHHQNT6100: 101 rows, 41 cols (output+llm)
2026-03-20 13:41:02,782 INFO Loaded gkSAR3jbMjA: 101 rows, 84 cols (output+llm)
2026-03-20 13:41:02,792 INFO Loaded hnyYg62DY4E: 101 rows, 84 cols (output+llm)
2026-03-20 13:41:02,800 INFO Loaded iKGmIRAfmCM: 101 rows, 122 cols (output+llm)
2026-03-20 13:41:02,810 INFO Loaded iP_siVZjbzc: 101 rows, 122 cols (output+llm)
2026-03-20 13:41:02,823 INFO Loaded ib29EiVnmJM: 101 rows, 122 cols (output+llm)
2026-03-20 13:41:02,832 INFO Loaded ie3vumn9Je4: 101 rows, 122 cols (output+llm)
2026-03-20 13:41:02,842 INFO Loaded jPVQgOI33V0: 101 rows, 122 cols (output+llm)
2026-03-20 13:41:02,848 INFO Loaded jTtvWTti3b0: 101 rows, 41 cols (output+llm)
2026-03-20 13:41:02,853 INFO Loaded kifrPvJigCU: 101 rows, 41 cols (output+llm)
2026-03-20 13:41:02,864 INFO Loaded lLoSngvynB8: 101 rows, 120 cols (output+llm)
2026-03-20 13:41:02,870 INFO Loaded lYAEH2n3I58: 101 rows, 41 cols (output+llm)
2026-03-20 13:41:02,876 INFO Loaded lgeLlSArJXU: 101 rows, 41 cols (output+llm)
2026-03-20 13:41:02,882 INFO Loaded mBzEZBF1a_U: 101 rows, 41 cols (output+llm)
2026-03-20 13:41:02,886 INFO Loaded mM6sYTdPZ-0: 100 rows, 41 cols (output+llm)
2026-03-20 13:41:02,892 INFO Loaded pfacUo-6wNs: 101 rows, 41 cols (output+llm)
2026-03-20 13:41:02,897 INFO Loaded porv8WwTSgc: 101 rows, 41 cols (output+llm)
2026-03-20 13:41:02,904 INFO Loaded q607HENWvqY: 101 rows, 41 cols (output+llm)
2026-03-20 13:41:02,910 INFO Loaded qoqjZR52lOQ: 101 rows, 41 cols (output+llm)
2026-03-20 13:41:02,915 INFO Loaded rJxhpVu7BhU: 101 rows, 41 cols (output+llm)
2026-03-20 13:41:02,926 INFO Loaded sujXtr4AVRU: 101 rows, 120 cols (output+llm)
2026-03-20 13:41:02,965 INFO Loaded szF7osJgt-A: 101 rows, 41 cols (output+llm)
2026-03-20 13:41:02,971 INFO Loaded vVZDZxRRXDI: 101 rows, 41 cols (output+llm)
2026-03-20 13:41:02,977 INFO Loaded v_puTGCZjnA: 101 rows, 41 cols (output+llm)
2026-03-20 13:41:02,982 INFO Loaded vopiJ3KKT-k: 100 rows, 41 cols (output+llm)
2026-03-20 13:41:02,987 INFO Loaded wS79wHHkjjw: 101 rows, 41 cols (output+llm)
2026-03-20 13:41:02,991 INFO Loaded wWtq4RlbRos: 101 rows, 41 cols (output+llm)
2026-03-20 13:41:02,997 INFO Loaded xK0GkyIVzq4: 101 rows, 41 cols (output+llm)
2026-03-20 13:41:03,007 INFO Loaded xZnMwJQ4mfc: 101 rows, 120 cols (output+llm)
2026-03-20 13:41:03,019 INFO Loaded yKC5nekLvbs: 101 rows, 120 cols (output+llm)
2026-03-20 13:41:03,026 INFO Loaded yXaJpj7Bb9w: 101 rows, 41 cols (output+llm)
2026-03-20 13:41:03,039 INFO Loaded yv4o4Epz1eM: 101 rows, 120 cols (output+llm)
2026-03-20 13:41:03,039 INFO Total videos loaded: 87 (87 output, 0 snapshot-only)
2026-03-20 13:41:04,162 INFO Embedding PCA visual: 69.6% explained by 12 components
2026-03-20 13:41:04,163 INFO Embedding PCA audio: 79.9% explained by 12 components
2026-03-20 13:41:04,163 INFO Embedding PCA text: 49.8% explained by 12 components
2026-03-20 13:41:04,314 INFO Embedding PCA: added 36 features (87 videos with embeddings / 87 total)
2026-03-20 13:41:04,314 INFO Videos: ['138P93_Z_u0', '1J5zlq2Vs3Y', '39R6j9qkzPo', '3G6JrAq-w4M', '3MncoqWP_qg', '3PBo1GiAlbs', '3WA4YT8fkx8', '4WcGtcKKoWg', '6Ha1lqRKMig', '6_qPAwOsDi0', '7g_56jn0NCA', '8YXWaEo201o', '8__NWVjeyZ8', '9B3N8I4Vidc', 'BZEZxzRJ-L4', 'Db6f982wxPg', 'DhFuAhFMvms', 'DrS6_CT0XrU', 'ECP4p12A5FY', 'EFxlvlchMw8', 'EhAdb6fIEe0', 'Ei6QuJppkb4', 'FYbEJ3oRgFk', 'FZ4waB-THOA', 'Fr4ZqY97Bco', 'GfEdSBXxyHA', 'GthDbmZFW-w', 'IgJxh-fJTBU', 'JXTBwlW02No', 'K5zVqoMMj3Y', 'LH3DvvXTxzc', 'Mc0b511IaVU', 'NE38Pn3CYRc', 'Nvq6okhPSOw', 'OpuMLYUuP_M', 'P9bVljfAWS8', 'Q1ZmiQVX9cY', 'RhVq2oJpsEY', 'RkwsqGM4_DE', 'S_o49-nmh5w', 'Sf95qeC7BUs', 'U8e1Pd7aBLY', 'VYYzb9KHawI', 'VYsqc9S5b9E', 'W6eny
